br,total_mortos,total_vitimas,total_acidentes
101,760,15793,13014
116,708,12976,11021
153,282,3399,2789
40,214,4397,3502
163,210,2813,2519
316,201,1622,1236
230,192,2187,1745
381,190,4356,3496
364,173,2688,2264
262,169,2306,1769
277,152,2644,2157
222,128,722,581
470,123,1726,1388
376,121,2039,1762
232,105,1069,830
135,105,712,559
282,100,1859,1379
10,95,699,506
365,87,921,600
70,86,1300,1084
158,82,797,683
60,75,1272,1081
242,73,465,283
369,72,1174,915
20,69,860,699
324,63,1158,942
386,60,895,623
110,60,522,339
423,59,288,183
251,58,518,342
