tipo_acidente,total_vitimas,total_acidentes,acidentes_fatais,perc_fatais
Atropelamento de Pedestre,3765,3057,902,29.51
Colisão frontal,9459,4739,1396,29.46
Colisão lateral sentido oposto,3079,2152,212,9.85
Eventos atípicos,317,287,23,8.01
Atropelamento de Animal,1341,1133,68,6.0
Saída de leito carroçável,12338,10209,605,5.93
Colisão com objeto,5275,5109,297,5.81
Colisão transversal,12496,9306,427,4.59
Capotamento,1901,1373,63,4.59
Colisão traseira,17059,14360,619,4.31
Tombamento,7534,6351,268,4.22
Derramamento de carga,72,107,3,2.8
Colisão lateral mesmo sentido,9067,7885,212,2.69
Queda de ocupante de veículo,4127,3450,87,2.52
Engavetamento,1702,1233,28,2.27
Sinistro pessoal de trânsito,6,7,0,0.0
Incêndio,55,1771,0,0.0
