uf,total_vitimas,total_acidentes,total_mortos,acidentes_fatais,perc_fatais
MA,1576,1262,281,236,18.7
PA,1415,1117,224,193,17.28
RR,221,142,28,23,16.2
AM,175,138,26,19,13.77
AL,836,629,96,86,13.67
TO,886,677,102,83,12.26
CE,1600,1302,171,153,11.75
BA,5606,4108,583,476,11.59
AC,357,280,29,29,10.36
PE,3684,3013,336,302,10.02
PI,1857,1490,168,149,10.0
MS,1905,1654,150,136,8.22
MT,3078,2636,243,204,7.74
GO,3865,3196,308,247,7.73
SE,678,589,51,44,7.47
MG,12767,9570,765,647,6.76
PR,9130,7630,593,511,6.7
PB,2426,1978,142,127,6.42
RN,2013,1648,111,102,6.19
RO,1749,1452,102,86,5.92
RS,5880,4899,327,275,5.61
ES,3455,2642,161,145,5.49
AP,274,169,14,9,5.33
RJ,7989,6428,330,306,4.76
SC,9834,8186,434,374,4.57
SP,5209,4683,221,205,4.38
DF,1128,1011,47,43,4.25
