uf,br,total_vitimas,total_acidentes,total_mortos,acidentes_fatais,perc_fatais
MG,381,3682,2845,158,139,4.89
BA,101,1346,956,153,122,12.76
MG,40,2582,1972,153,123,6.24
PR,277,2644,2157,152,134,6.21
SP,116,3618,3249,152,143,4.4
SC,101,4766,4222,147,140,3.32
RJ,101,3125,2415,138,125,5.18
BA,116,1309,1038,126,110,10.6
MG,116,1948,1412,124,104,7.37
ES,101,2692,2084,123,112,5.37
PR,376,1962,1700,116,109,6.41
PE,232,1069,830,105,99,11.93
MG,262,1432,1095,101,90,8.22
SC,470,1347,1066,101,82,7.69
SC,282,1859,1379,100,82,5.95
RJ,116,2110,1798,95,92,5.12
GO,153,1164,973,91,66,6.78
MG,365,921,600,87,71,11.83
MT,163,1126,969,84,60,6.19
RO,364,1344,1112,78,64,5.76
PB,230,1475,1191,75,65,5.46
TO,153,590,482,75,60,12.45
CE,116,859,707,72,65,9.19
MA,316,327,244,72,62,25.41
PR,369,1174,915,72,60,6.56
BA,242,417,256,69,50,19.53
PE,101,1281,1130,68,62,5.49
BA,324,1158,942,63,56,5.94
RS,116,1420,1317,63,55,4.18
MT,364,825,750,60,57,7.6
RS,386,895,623,60,48,7.7
PA,230,360,280,55,47,16.79
PR,476,518,427,55,43,10.07
GO,60,949,803,52,50,6.23
CE,222,430,359,51,47,13.09
MG,251,425,271,51,35,12.92
PI,343,905,742,51,47,6.33
BA,110,352,210,50,41,19.52
MT,70,731,589,50,42,7.13
MA,135,445,390,49,44,11.28
PE,423,232,144,49,32,22.22
MS,163,861,781,47,46,5.89
PA,316,369,271,47,42,15.5
PR,116,1233,1113,47,45,4.04
MA,10,269,221,46,40,18.1
MA,222,195,152,46,36,23.68
SC,280,1114,880,44,36,4.09
PR,153,501,402,43,39,9.7
MS,262,331,285,41,34,11.93
PA,163,234,261,40,33,12.64
RS,290,949,768,40,31,4.04
PA,10,263,158,39,37,23.42
PR,373,272,231,39,27,11.69
PI,135,180,111,36,25,22.52
PI,316,545,448,36,35,7.81
GO,20,235,170,34,21,12.35
PR,163,434,373,34,30,8.04
RJ,40,1298,1071,34,32,2.99
RS,285,539,408,33,28,6.86
SP,381,674,651,32,32,4.92
AL,101,297,254,31,29,11.42
PB,101,585,509,30,27,5.3
SE,101,378,346,30,29,8.38
GO,70,269,210,28,25,11.9
MG,50,643,592,28,28,4.73
MG,153,389,269,28,23,8.55
RJ,393,465,320,28,25,7.81
AL,316,260,177,27,24,13.56
ES,262,534,382,26,23,6.02
RS,392,405,364,26,20,5.49
GO,40,386,335,25,23,6.87
GO,414,222,161,25,20,12.42
MT,158,149,119,25,23,19.33
RN,101,863,705,25,23,3.26
RN,304,481,398,25,23,5.78
SP,153,502,449,25,21,4.68
BA,407,178,127,24,21,16.54
MA,226,148,104,24,21,20.19
MA,230,142,119,24,22,18.49
MT,174,245,205,24,22,10.73
PE,104,246,203,24,24,11.82
PE,408,156,141,24,23,16.31
RJ,493,445,369,23,21,5.69
SC,116,404,328,23,19,5.79
RS,158,297,255,22,19,7.45
RS,470,379,322,22,22,6.83
PA,222,59,37,21,13,35.14
RN,226,231,177,21,16,9.04
RN,405,93,82,21,21,25.61
SE,235,300,241,21,15,6.22
BA,135,87,58,20,13,22.41
PE,316,121,96,19,19,19.79
AC,364,290,220,18,18,8.18
PB,104,194,169,18,17,10.06
PE,424,100,76,17,15,19.74
AL,104,184,130,16,15,11.54
AM,319,55,36,16,10,27.78
BA,235,103,76,16,14,18.42
BA,349,94,52,16,12,23.08
MS,267,169,145,16,14,9.66
PI,230,98,88,16,14,15.91
RS,293,161,110,16,10,9.09
CE,20,154,132,15,15,11.36
GO,364,179,137,15,12,8.76
MS,158,149,133,15,15,11.28
PI,407,59,37,15,14,37.84
AP,210,164,111,14,9,8.11
GO,50,182,159,14,10,6.29
MG,459,184,125,14,14,11.2
MS,60,201,157,14,11,7.01
RR,174,121,81,14,13,16.05
CE,230,32,22,13,12,54.55
PE,428,266,202,13,12,5.94
PR,158,116,99,12,9,9.09
PR,272,78,53,12,8,15.09
AC,317,58,52,11,11,21.15
DF,80,82,68,11,9,13.24
MA,402,34,26,11,8,30.77
MG,267,227,130,11,10,7.69
AL,423,56,39,10,8,20.51
BA,20,55,48,10,9,18.75
BA,420,50,28,10,8,28.57
DF,20,415,348,10,10,2.87
PA,308,51,34,10,10,29.41
PB,412,56,28,10,10,35.71
PI,222,38,33,10,10,30.3
RS,287,139,120,10,9,7.5
SC,153,93,71,10,7,9.86
TO,10,167,127,10,9,7.09
