uf;municipio;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo
SP;GUARULHOS;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Múltipla;"Reta;Declive";Sim
CE;PENAFORTE;quarta-feira;Pleno dia;Pista esburacada;Colisão frontal;Céu Claro;Simples;Reta;Não
PR;CORNELIO PROCOPIO;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Dupla;"Reta;Aclive";Sim
PR;CAMPINA GRANDE DO SUL;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não
MG;FRANCISCO SA;quarta-feira;Pleno dia;Velocidade Incompatível;Colisão frontal;Chuva;Simples;"Curva;Declive";Não
MT;CACERES;quarta-feira;Pleno dia;Transitar na contramão;Colisão frontal;Céu Claro;Simples;Reta;Não
RS;TAPES;quarta-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não
SC;SAO JOSE;quarta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Nublado;Dupla;Reta;Sim
MG;MURIAE;quarta-feira;Anoitecer;Velocidade Incompatível;Tombamento;Nublado;Simples;Curva;Não
PE;AFRANIO;quarta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Simples;"Aclive;Curva";Não
SC;CAPIVARI DE BAIXO;quarta-feira;Pleno dia;Ingestão de álcool pelo condutor;Colisão com objeto;Garoa/Chuvisco;Dupla;"Curva;Interseção de Vias";Sim
MG;RIO MANSO;quarta-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Chuva;Dupla;Curva;Não
PB;MARIZOPOLIS;quarta-feira;Plena Noite;Ingestão de álcool pelo condutor;Colisão frontal;Céu Claro;Simples;Curva;Sim
MG;MURIAE;quinta-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Simples;Curva;Não
SC;CONCORDIA;quarta-feira;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Nublado;Simples;"Reta;Declive";Não
